name,area,target_type,min_income,min_net_assets,url
スルガ銀行,東京都・埼玉県・神奈川県・千葉県,個人サラリーマン,10000000,30000000,https://www.agent-hp.com/%e3%82%b9%e3%83%ab%e3%82%ac%e9%8a%80%e8%a1%8c/
オリックス銀行,東京都・埼玉県・神奈川県・千葉県,両方,8000000,20000000,https://www.agent-hp.com/%e3%82%aa%e3%83%aa%e3%83%83%e3%82%af%e3%82%b9%e9%8a%80%e8%a1%8c/
千葉銀行,東京都・千葉県,両方,20000000,50000000,https://www.agent-hp.com/%e5%8d%83%e8%91%89%e9%8a%80%e8%a1%8c/
横浜銀行,東京都・神奈川県,個人サラリーマン,10000000,30000000,https://www.agent-hp.com/%e6%a8%aa%e6%b5%9c%e9%8a%80%e8%a1%8c/
横浜銀行(コベナンツ),東京都・神奈川県,個人サラリーマン,20000000,100000000,https://www.agent-hp.com/%e6%a8%aa%e6%b5%9c%e9%8a%80%e8%a1%8c/
りそな銀行,東京都・埼玉県・神奈川県,個人サラリーマン,15000000,200000000,https://www.agent-hp.com/%e3%82%8a%e3%81%9d%e3%81%aa%e9%8a%80%e8%a1%8c/
川崎信用金庫,神奈川県,両方,10000000,20000000,https://www.agent-hp.com/%e5%b7%9d%ef%a8%91%e4%bf%a1%e7%94%a8%e9%87%91%e5%ba%ab/
香川銀行,東京都・埼玉県・神奈川県・千葉県,個人サラリーマン,8000000,10000000,https://www.agent-hp.com/%e9%a6%99%e5%b7%9d%e9%8a%80%e8%a1%8c/
Ｌ＆Ｆアセットファイナンス,東京都・埼玉県・神奈川県・千葉県,両方,5000000,10000000,https://www.agent-hp.com/%e4%b8%89%e4%ba%95%e4%bd%8f%e5%8f%8bl%ef%bc%86f/
きらぼし銀行,東京都・埼玉県・神奈川県,両方,10000000,30000000,https://www.agent-hp.com/%e3%81%8d%e3%82%89%e3%81%bc%e3%81%97%e9%8a%80%e8%a1%8c/
東日本銀行,東京都・埼玉県,両方,10000000,30000000,https://www.agent-hp.com/%e6%9d%b1%e6%97%a5%e6%9c%ac%e9%8a%80%e8%a1%8c/
あすか信用組合,東京都・埼玉県・神奈川県,両方,7000000,20000000,https://www.agent-hp.com/%e3%81%82%e3%81%99%e3%81%8b%e4%bf%a1%e7%94%a8%e7%b5%84%e5%90%88/
SBJ銀行,東京都,資産管理法人,15000000,20000000,https://www.agent-hp.com/sbj%e9%8a%80%e8%a1%8c/
さわやか信用金庫,東京都・神奈川県,両方,10000000,20000000,https://www.agent-hp.com/%e3%81%95%e3%82%8f%e3%82%84%e3%81%8b%e4%bf%a1%e7%94%a8%e9%87%91%e5%ba%ab/
湘南信用金庫,東京都・神奈川県,両方,10000000,20000000,https://www.agent-hp.com/%e6%b9%98%e5%8d%97%e4%bf%a1%e7%94%a8%e9%87%91%e5%ba%ab/
クレディセゾン,東京都・埼玉県・神奈川県・千葉県,両方,10000000,20000000,https://www.agent-hp.com/%e3%82%af%e3%83%ac%e3%83%87%e3%82%a3%e3%82%bb%e3%82%be%e3%83%b3/
静岡銀行,東京都・埼玉県・神奈川県・千葉県,個人サラリーマン,7000000,20000000,https://www.agent-hp.com/shizugin/
